platform,search_term,product_name,brand,price_inr,mrp_inr,discount_pct,price_tier,rating,review_count,scraped_at
Amazon.in,perfume,"Fogg Marco No Gas Deodorant for Men, Long-Lasting Perfume Body Spray, 150 ml",Fogg,175.0,116.67,-50.0,Budget,,,2026-04-24 14:14:56.279427+00:00
Amazon.in,perfume,"Ramsons - U R LOVELY Eau De Parfum | 30 ML | Perfume For Women | TN - Bergamot, Peach, Orange, Grapefruit, Aquatic | MN - Lilly of the valley, Rose, Jasmine, Cinnamon | BN - Woody, Musk, Vanilla",Ramsons,121.0,,,Budget,,,2026-04-24 14:14:56.279814+00:00
Amazon.in,perfume,"Bella Vita Luxury | Long Lasting Men Perfume Gift Set | 4x20ml | Perfume for Man | Gift for Man | Woody, Citrusy, Oud Premium Fragrance | KLUB, OUD, CEO, G.O.A.T",Bella,549.0,849.0,35.3,Mid-range,,,2026-04-24 14:14:56.280187+00:00
Amazon.in,perfume,"BELLAVITA White Oud 100ml | Long Lasting Unisex Perfume | Perfume for Man and Woman | Eau De Parfum | Orange, Patchouli, Musk | Oud, Citrus & Spicy Premium Fragrance",BELLAVITA,565.0,999.0,43.4,Mid-range,,,2026-04-24 14:14:56.280644+00:00
Amazon.in,perfume,"Layer'r Wottagirl Vanilla Twist Body Splash, 135ml | Long-Lasting Premium Mist Spray for Women | Dreamy Vanilla Scent | Everyday Wear | Refreshing & Skin-Friendly",Layer'r,190.0,,,Budget,,,2026-04-24 14:14:56.281127+00:00
Amazon.in,perfume,"Bella Vita Luxury CEO MAN Perfume 100ml | Long Lasting | Eau De Parfum | Lemon, Lavender, Tonka, Mandarin & Vetiver | Woody, Citrus Premium Fragrance | Ideal Gift for Man",Bella,499.0,,,Budget,,,2026-04-24 14:14:56.281580+00:00
Amazon.in,perfume,"Bella Vita Luxury Date & Senorita Women Long Lasting | Perfume for Woman | Gifts for Woman | EDP 2x20ml | Jasmine, Vanilla, Lotus & Musk | Floral, Fruity & Woody",Bella,199.0,,,Budget,,,2026-04-24 14:14:56.281998+00:00
Amazon.in,perfume,"Secret Temptation Romance Eau De Parfum for Women, Long Lasting Chypre Green Everyday Wear Fragrance, 50ml",Secret,199.0,,,Budget,,,2026-04-24 14:14:56.282457+00:00
Amazon.in,perfume,"Engage Perfume Gift Set for Men and Women, 100ml, Luxury Long Lasting Eau De Parfum, Travel Size Perfume Combo 25ml x 4, Couple Gift",Engage,399.0,999.0,60.1,Budget,,,2026-04-24 14:14:56.282829+00:00
Amazon.in,perfume,"BELLAVITA Skai Aquatic EDC & Fresh EDT | Long Lasting 2x20ml Perfume for Man & Woman | Gifts for Woman | Bergamot, Ylang Ylang, Pink Pepper | Premium Fragrance",BELLAVITA,199.0,,,Budget,,,2026-04-24 14:14:56.283283+00:00
Amazon.in,perfume,"HIRA Oak and Smoke Perfume for Men 50ml | 12 Hours Long Lasting Eau De Parfum Premium Luxury Smell | Best Men Perfume with Earthy, Fresh & Citrus Scent | Bold Night-Out & Date Night Fragrance | Gifts for Men, boyfriend",HIRA,899.0,,,Mid-range,,,2026-04-24 14:14:56.283771+00:00
Amazon.in,perfume,"HIRA Dive Club Perfume for Men 50ml | 12 Hours Long Lasting Eau De Parfum Premium Luxury Smell | Best Men Perfume with Woody, Musky & Spicy Scent | Bold Night-Out & Date Night Fragrance | Gifts for Men, boyfriend",HIRA,899.0,1798.0,50.0,Mid-range,,,2026-04-24 14:14:56.284230+00:00
Amazon.in,perfume,"Arabian Aroma Roman Muse for Women | Luxurious Amber Floral, Vanilla & Jasmine | Long-Lasting Scent, Eau de Parfum, 50 Ml",Arabian,699.0,,,Mid-range,,,2026-04-24 14:14:56.284745+00:00
Amazon.in,perfume,"Engage Brazilian Maracuja Cognac Eau De Parfum for Men 50ml, Long lasting Perfume for Man, Amber, Leather & Oud Fragrance Scents, Luxury Perfume for Man, Premium Parfum Gift for Men",Engage,368.0,,,Budget,,,2026-04-24 14:14:56.285245+00:00
Amazon.in,perfume,"Bella Vita Luxury White Oud & Honey Oud | Long Lasting Perfume | Perfume for Man & Woman | EDP 2x20ml | Honey, Lemon & Patchouli | Premium Fragrance",Bella,199.0,,,Budget,,,2026-04-24 14:14:56.285628+00:00
Amazon.in,perfume,"Bella Vita Luxury Long Lasting Unisex Perfume Gift Set | Perfume for Man | Gifts for Woman | 4x20ml | Woody, Aquatic & Sweet Premium Fragrance",Bella,549.0,,,Mid-range,,,2026-04-24 14:14:56.286022+00:00
Amazon.in,perfume,Perfume: The Story of a Murderer,Perfume:,,,,Unknown,,,2026-04-24 14:14:56.286247+00:00
Amazon.in,perfume,"Bella Vita Luxury Honey Oud Long Lasting Perfume | Perfume for Man and Woman | EDP 100ml | Bergamot, Patchouli & Vanilla | Sweet, Woody & Spicy Premium Fragrance for Men and Women",Bella,548.0,,,Mid-range,,,2026-04-24 14:14:56.286624+00:00
Amazon.in,perfume,"Park Avenue Oud, Liquid Eau De Parfum Men, 100ml | Long Lasting Perfume Spray For Men | Wedding Gift Ideas | Best Wedding Gifts | Premium Luxury Fragrance Scent Aromatic | Suitable For Every Occasion",Park,290.07,,,Budget,,,2026-04-24 14:14:56.287026+00:00
Amazon.in,perfume,"Skinn By Titan | Tales Rio Perfume - 100 Ml | Perfume For Man | Gift for Men | Premium Fragrance | Grooming Essentials | Long Lasting Smell for Men | Fresh, Woody |Eau De Parfum",Skinn,766.0,,,Mid-range,,,2026-04-24 14:14:56.287378+00:00
Amazon.in,perfume,"Yardley London Gentleman Classic Liquid Perfume Spray, Fresh Woody Fougère Notes, Masculine Fragrance, Perfume For Men, 100ml",Yardley,324.0,,,Budget,,,2026-04-24 14:14:56.287774+00:00
Amazon.in,perfume,"Wild Stone Edge Eau De Parfum for Men, Long Lasting perfume, 100 ml",Wild,384.0,,,Budget,,,2026-04-24 14:14:56.288156+00:00
Amazon.in,perfume,"BELLAVITA Date & Glam Women Long Lasting | Perfume for Woman | Gifts for Woman | EDP 2x20ml | Floral, Fruity, Citrusy & Woody Premium Fragrance",BELLAVITA,199.0,,,Budget,,,2026-04-24 14:14:56.288536+00:00
Amazon.in,perfume,"Park Avenue Regal No Gas Premium Perfume for Men Long Lasting Fragrance, 130ml",Park,227.0,,,Budget,,,2026-04-24 14:14:56.288999+00:00
